lambda,cv,beta
5.652041,0.22498241207,16
5.753061,0.24952390371,16
5.854082,0.27446134033,16
5.955102,0.29935386853,16
6.056122,0.32371168077,16
6.157143,0.34701122652,16
6.258163,0.36871424259,16
6.359184,0.38828976016,16
6.460204,0.4052378565,16
6.561224,0.41911359585,16
6.662245,0.42954941036,16
6.763265,0.43627414457,16
6.864286,0.43912716326,16
6.965306,0.4380662929,16
7.066327,0.43316889356,16
7.167347,0.42462599592,16
7.268367,0.41273007775,16
7.369388,0.39785762527,16
7.470408,0.38044804835,16
7.571429,0.36098073563,16
7.672449,0.33995205292,16
7.773469,0.31785388279,16
7.87449,0.29515499377,16
7.97551,0.27228608064,16
8.076531,0.24962890567,16
8.177551,0.22750953957,16
8.278571,0.20619540592,16
8.379592,0.18589558429,16
8.480612,0.16676369566,16
8.581633,0.14890268072,16
8.682653,0.13237078348,16
8.783673,0.11718815356,16
8.884694,0.10334357596,16
8.985714,0.090800957987,16
9.086735,0.079505324131,16
9.187755,0.069388139527,16
9.288776,0.060371902771,16
9.389796,0.052373984596,16
9.490816,0.045309735229,16
9.591837,0.039094935637,16
9.692857,0.033647645265,16
9.793878,0.028889554553,16
9.894898,0.024746901821,16
9.995918,0.021151050925,16
10.096939,0.018038785551,16
10.197959,0.015352398157,16
10.29898,0.013039612677,16
10.4,0.011053388473,16
10.50102,0.0093516586348,16
10.602041,0.0078969933093,16
10.703061,0.0066562606953,16
10.804082,0.0056002521887,16
10.905102,0.0047033284791,16
11.006122,0.0039430609904,16
11.107143,0.0032999031246,16
11.208163,0.0027568633668,16
11.309184,0.002299234271,16
11.410204,0.0019142990932,16
11.511224,0.0015911124647,16
11.612245,0.0013202605769,16
11.713265,0.001093680039,16
11.814286,0.00090447254479,16
11.915306,0.0007467539981,16
12.016327,0.00061551295221,16
12.117347,0.00050650164485,16
12.218367,0.0004161093384,16
12.319388,0.00034128408879,16
12.420408,0.00027945451438,16
12.521429,0.00022844970226,16
12.622449,0.00018644891679,16
12.723469,0.00015192013234,16
12.82449,0.00012358464301,16
12.92551,0.00010036770254,16
13.026531,0.00008137896657,16
13.127551,0.000065877102315,16
13.228571,0.00005323626101,16
13.329592,0.000042954459786,16
13.430612,0.00003459956497,16
13.531633,0.00002782791853,16
13.632653,0.00002234056592,16
13.733673,0.000017907470465,16
13.834694,0.000014331191778,16
13.935714,0.000011449679732,16
14.036735,0.0000091325491667,16
14.137755,0.0000072736293077,16
14.238776,0.0000057853758335,16
14.339796,0.0000045951455832,16
14.440816,0.0000036340206861,16
14.541837,0.0000028796494007,16
14.642857,0.0000022761523724,16
14.743878,0.0000017918646336,16
14.844898,0.0000014137476683,16
14.945918,0.0000011082738638,16
15.046939,8.7171792984e-7,16
15.147959,6.8359076977e-7,16
15.24898,5.3085386753e-7,16
15.35,4.1350722313e-7,16
15.45102,3.2782554626e-7,16
15.552041,2.533197403e-7,16
15.653061,1.9744038582e-7,16
15.754082,1.4714896679e-7,16
15.855102,1.1548399925e-7,16
15.956122,9.1269612312e-8,16
16.057143,6.3329935074e-8,16
16.158163,6.3329935074e-8,16
16.259184,5.2154064178e-8,16
16.360204,3.7252902985e-8,16
16.461224,3.3527612686e-8,16
16.562245,1.1175870895e-8,16
16.663265,1.8626451492e-8,16
16.764286,7.4505805969e-9,16
16.865306,1.1175870895e-8,16
16.966327,7.4505805969e-9,16
17.067347,7.4505805969e-9,16
17.168367,1.4901161194e-8,16
17.269388,1.1175870895e-8,16
17.370408,3.7252902985e-9,16
17.471429,0,16
17.572449,3.7252902985e-9,16
17.673469,0,16
17.77449,0,16
17.87551,-1.1175870895e-8,16
17.976531,-3.7252902985e-9,16
18.077551,0,16
18.178571,-7.4505805969e-9,16
18.279592,1.1175870895e-8,16
18.380612,3.7252902985e-9,16
18.481633,-3.7252902985e-9,16
18.582653,3.7252902985e-9,16
18.683673,-7.4505805969e-9,16
18.784694,3.7252902985e-9,16
18.885714,7.4505805969e-9,16
18.986735,-7.4505805969e-9,16
19.087755,0,16
19.188776,7.4505805969e-9,16
19.289796,1.4901161194e-8,16
19.390816,7.4505805969e-9,16
19.491837,0,16
19.592857,-7.4505805969e-9,16
19.693878,0,16
19.794898,0,16
19.895918,-7.4505805969e-9,16
19.996939,0,16
0.5,0,64
0.60102,0,64
0.702041,0,64
0.803061,0,64
0.904082,0,64
1.005102,0,64
1.106122,0,64
1.207143,0,64
1.308163,0,64
1.409184,0,64
1.510204,0,64
1.611224,0,64
1.712245,0,64
1.813265,0,64
1.914286,0,64
2.015306,0,64
2.116327,0,64
2.217347,0,64
2.318367,0,64
2.419388,0,64
2.520408,0,64
2.621429,0,64
2.722449,0,64
2.823469,0,64
2.92449,0,64
3.02551,0,64
3.126531,0,64
3.227551,0,64
3.328571,0,64
3.429592,0,64
3.530612,0,64
3.631633,0,64
3.732653,1.1641532183e-10,64
3.833673,0,64
3.934694,1.1641532183e-10,64
4.035714,2.3283064365e-10,64
4.136735,-2.3283064365e-10,64
4.237755,4.6566128731e-10,64
4.338776,0,64
4.439796,-2.3283064365e-10,64
4.540816,4.6566128731e-10,64
4.641837,1.3969838619e-9,64
4.742857,2.7939677238e-9,64
4.843878,7.9162418842e-9,64
4.944898,2.1420419216e-8,64
5.045918,4.9360096455e-8,64
5.146939,1.1455267668e-7,64
5.247959,2.6170164347e-7,64
5.34898,5.871988833e-7,64
5.45,0.0000012847594917,64
5.55102,0.0000027441419661,64
5.652041,0.0000057248398662,64
5.753061,0.000011654570699,64
5.854082,0.000023155473173,64
5.955102,0.000044881366193,64
6.056122,0.000084847211838,64
6.157143,0.00015645474195,64
6.258163,0.00028139352798,64
6.359184,0.00049365963787,64
6.460204,0.00084484461695,64
6.561224,0.0014106472954,64
6.662245,0.0022984817624,64
6.763265,0.0036554932594,64
6.864286,0.0056761242449,64
6.965306,0.0086078066379,64
7.066327,0.012753073126,64
7.167347,0.018466105685,64
7.268367,0.026142004877,64
7.369388,0.036197252572,64
7.470408,0.049040922895,64
7.571429,0.065037043765,64
7.672449,0.084460282698,64
7.773469,0.10744829476,64
7.87449,0.13395559415,64
7.97551,0.16371481493,64
8.076531,0.19621146098,64
8.177551,0.23067815229,64
8.278571,0.26611250266,64
8.379592,0.30132118985,64
8.480612,0.3349885568,64
8.581633,0.36576546729,64
8.682653,0.39236971736,64
8.783673,0.41368710995,64
8.884694,0.42886073142,64
8.985714,0.4373571761,64
9.086735,0.43900117278,64
9.187755,0.43397498876,64
9.288776,0.42278416455,64
9.389796,0.40619599819,64
9.490816,0.38516064733,64
9.591837,0.36072595417,64
9.692857,0.33395639807,64
9.793878,0.30586437881,64
9.894898,0.27735825628,64
9.995918,0.24920921028,64
10.096939,0.22203570604,64
10.197959,0.19630248845,64
10.29898,0.17233072221,64
10.4,0.15031504631,64
10.50102,0.13034442067,64
10.602041,0.11242373288,64
10.703061,0.096494652331,64
10.804082,0.082453869283,64
10.905102,0.070168919861,64
11.006122,0.059490725398,64
11.107143,0.050263442099,64
11.208163,0.042331717908,64
11.309184,0.035545758903,64
11.410204,0.029764816165,64
11.511224,0.024859145284,64
11.612245,0.020710945129,64
11.713265,0.017214715481,64
11.814286,0.014276847243,64
11.915306,0.011815160513,64
12.016327,0.0097578316927,64
12.117347,0.0080427527428,64
12.218367,0.0066163241863,64
12.319388,0.0054326951504,64
12.420408,0.0044525563717,64
12.521429,0.003642693162,64
12.622449,0.0029748380184,64
12.723469,0.0024251788855,64
12.82449,0.0019736588001,64
12.92551,0.0016034990549,64
13.026531,0.001300483942,64
13.127551,0.0010530054569,64
13.228571,0.00085118412971,64
13.329592,0.00068683922291,64
13.430612,0.00055332481861,64
13.531633,0.00044503808022,64
13.632653,0.00035735964775,64
13.733673,0.00028643012047,64
13.834694,0.00022929906845,64
13.935714,0.00018316507339,64
14.036735,0.00014609098434,64
14.137755,0.00011640787125,64
14.238776,0.000092566013336,64
14.339796,0.000073492527008,64
14.440816,0.000058233737946,64
14.541837,0.000046044588089,64
14.642857,0.000036358833313,64
14.743878,0.000028669834137,64
14.844898,0.000022619962692,64
14.945918,0.000017791986465,64
15.046939,0.000013917684555,64
15.147959,0.000010877847672,64
15.24898,0.0000084936618805,64
15.35,0.0000067353248596,64
15.45102,0.0000051856040955,64
15.552041,0.0000040531158447,64
15.653061,0.0000031292438507,64
15.754082,0.0000024437904358,64
15.855102,0.0000018775463104,64
15.956122,0.000001460313797,64
16.057143,0.0000011324882507,64
16.158163,8.3446502686e-7,64
16.259184,6.5565109253e-7,64
16.360204,5.9604644775e-7,64
16.461224,2.384185791e-7,64
16.562245,3.5762786865e-7,64
16.663265,2.384185791e-7,64
16.764286,1.1920928955e-7,64
16.865306,1.7881393433e-7,64
16.966327,-5.9604644775e-8,64
17.067347,5.9604644775e-8,64
17.168367,-5.9604644775e-8,64
17.269388,5.9604644775e-8,64
17.370408,-5.9604644775e-8,64
17.471429,2.384185791e-7,64
17.572449,5.9604644775e-8,64
17.673469,5.9604644775e-8,64
17.77449,-5.9604644775e-8,64
17.87551,-5.9604644775e-8,64
17.976531,1.1920928955e-7,64
18.077551,0,64
18.178571,-5.9604644775e-8,64
18.279592,-1.1920928955e-7,64
18.380612,5.9604644775e-8,64
18.481633,1.1920928955e-7,64
18.582653,1.7881393433e-7,64
18.683673,0,64
18.784694,5.9604644775e-8,64
18.885714,-5.9604644775e-8,64
18.986735,-1.7881393433e-7,64
19.087755,0,64
19.188776,1.1920928955e-7,64
19.289796,0,64
19.390816,-1.1920928955e-7,64
19.491837,0,64
19.592857,0,64
19.693878,0,64
19.794898,-1.1920928955e-7,64
19.895918,-1.1920928955e-7,64
19.996939,0,64
0.5,0,256
0.60102,0,256
0.702041,0,256
0.803061,0,256
0.904082,0,256
1.005102,0,256
1.106122,0,256
1.207143,0,256
1.308163,0,256
1.409184,0,256
1.510204,0,256
1.611224,0,256
1.712245,0,256
1.813265,0,256
1.914286,0,256
2.015306,0,256
2.116327,0,256
2.217347,0,256
2.318367,0,256
2.419388,0,256
2.520408,0,256
2.621429,0,256
2.722449,0,256
2.823469,0,256
2.92449,0,256
3.02551,0,256
3.126531,0,256
3.227551,0,256
3.328571,0,256
3.429592,0,256
3.530612,0,256
3.631633,0,256
3.732653,0,256
3.833673,0,256
3.934694,0,256
4.035714,0,256
4.136735,0,256
4.237755,0,256
4.338776,0,256
4.439796,0,256
4.540816,0,256
4.641837,0,256
4.742857,0,256
4.843878,0,256
4.944898,0,256
5.045918,0,256
5.146939,0,256
5.247959,0,256
5.34898,0,256
5.45,0,256
5.55102,0,256
5.652041,0,256
5.753061,0,256
5.854082,0,256
5.955102,0,256
6.056122,0,256
6.157143,0,256
6.258163,0,256
6.359184,0,256
6.460204,0,256
6.561224,0,256
6.662245,0,256
6.763265,0,256
6.864286,0,256
6.965306,-2.9802322388e-8,256
7.066327,-2.9802322388e-8,256
7.167347,2.9802322388e-8,256
7.268367,2.9802322388e-8,256
7.369388,0,256
7.470408,-2.9802322388e-8,256
7.571429,2.9802322388e-8,256
7.672449,-2.9802322388e-8,256
7.773469,5.9604644775e-8,256
7.87449,2.0861625671e-7,256
7.97551,7.4505805969e-7,256
8.076531,0.000002384185791,256
8.177551,0.0000067949295044,256
8.278571,0.00001847743988,256
8.379592,0.000047326087952,256
8.480612,0.00011390447617,256
8.581633,0.00025951862335,256
8.682653,0.00055861473083,256
8.783673,0.0011407732964,256
8.884694,0.0022137761116,256
8.985714,0.0040912032127,256
9.086735,0.007214486599,256
9.187755,0.012164592743,256
9.288776,0.019651174545,256
9.389796,0.03047144413,256
9.490816,0.045435667038,256
9.591837,0.065258741379,256
9.692857,0.090429782867,256
9.793878,0.12107670307,256
9.894898,0.15684843063,256
9.995918,0.19684112072,256
10.096939,0.23958933353,256
10.197959,0.28314042091,256
10.29898,0.32520627975,256
10.4,0.36338686943,256
10.50102,0.39542555809,256
10.602041,0.41946363449,256
10.703061,0.43424296379,256
10.804082,0.43922841549,256
10.905102,0.43462264538,256
11.006122,0.42128956318,256
11.107143,0.40059316158,256
11.208163,0.37420487404,256
11.309184,0.3439002037,256
11.410204,0.31138849258,256
11.511224,0.27818441391,256
11.612245,0.24553084373,256
11.713265,0.2143740654,256
11.814286,0.18537092209,256
11.915306,0.15891957283,256
12.016327,0.13520646095,256
12.117347,0.11425542831,256
12.218367,0.095972061157,256
12.319388,0.080183744431,256
12.420408,0.066674232483,256
12.521429,0.055204153061,256
12.622449,0.04553103447,256
12.723469,0.037422657013,256
12.82449,0.030660629272,256
12.92551,0.02504658699,256
13.026531,0.020406961441,256
13.127551,0.016583681107,256
13.228571,0.013445854187,256
13.329592,0.010876655579,256
13.430612,0.0087804794312,256
13.531633,0.0070734024048,256
13.632653,0.0056872367859,256
13.733673,0.0045638084412,256
13.834694,0.0036559104919,256
13.935714,0.0029220581055,256
14.036735,0.0023326873779,256
14.137755,0.0018587112427,256
14.238776,0.0014786720276,256
14.339796,0.0011734962463,256
14.440816,0.00093126296997,256
14.541837,0.00073623657227,256
14.642857,0.00058221817017,256
14.743878,0.00045824050903,256
14.844898,0.00036144256592,256
14.945918,0.00028419494629,256
15.046939,0.0002236366272,256
15.147959,0.00017404556274,256
15.24898,0.00013589859009,256
15.35,0.00010681152344,256
15.45102,0.000083446502686,256
15.552041,0.000064849853516,256
15.653061,0.00005054473877,256
15.754082,0.000039577484131,256
15.855102,0.000030517578125,256
15.956122,0.000024318695068,256
16.057143,0.000017166137695,256
16.158163,0.00001335144043,256
16.259184,0.0000095367431641,256
16.360204,0.0000076293945312,256
16.461224,0.0000066757202148,256
16.562245,0.0000038146972656,256
16.663265,0.000004768371582,256
16.764286,0.0000038146972656,256
16.865306,9.5367431641e-7,256
16.966327,9.5367431641e-7,256
17.067347,9.5367431641e-7,256
17.168367,9.5367431641e-7,256
17.269388,9.5367431641e-7,256
17.370408,9.5367431641e-7,256
17.471429,9.5367431641e-7,256
17.572449,0.0000028610229492,256
17.673469,-9.5367431641e-7,256
17.77449,-9.5367431641e-7,256
17.87551,-9.5367431641e-7,256
17.976531,0,256
18.077551,-0.0000028610229492,256
18.178571,0,256
18.279592,9.5367431641e-7,256
18.380612,-9.5367431641e-7,256
18.481633,-0.0000019073486328,256
18.582653,-0.0000019073486328,256
18.683673,-9.5367431641e-7,256
18.784694,0.0000019073486328,256
18.885714,-0.0000019073486328,256
18.986735,-0.0000028610229492,256
19.087755,0.0000019073486328,256
19.188776,0.0000019073486328,256
19.289796,0.0000019073486328,256
19.390816,-0.0000019073486328,256
19.491837,0,256
19.592857,-0.0000019073486328,256
19.693878,-0.0000019073486328,256
19.794898,0.0000019073486328,256
19.895918,0.0000019073486328,256
19.996939,0,256
0.5,0,1024
0.60102,0,1024
0.702041,0,1024
0.803061,0,1024
0.904082,0,1024
1.005102,0,1024
1.106122,0,1024
1.207143,0,1024
1.308163,0,1024
1.409184,0,1024
1.510204,0,1024
1.611224,0,1024
1.712245,0,1024
1.813265,0,1024
1.914286,0,1024
2.015306,0,1024
2.116327,0,1024
2.217347,0,1024
2.318367,0,1024
2.419388,0,1024
2.520408,0,1024
2.621429,0,1024
2.722449,0,1024
2.823469,0,1024
2.92449,0,1024
3.02551,0,1024
3.126531,0,1024
3.227551,0,1024
3.328571,0,1024
3.429592,0,1024
3.530612,0,1024
3.631633,0,1024
3.732653,0,1024
3.833673,0,1024
3.934694,0,1024
4.035714,0,1024
4.136735,0,1024
4.237755,0,1024
4.338776,0,1024
4.439796,0,1024
4.540816,0,1024
4.641837,0,1024
4.742857,0,1024
4.843878,0,1024
4.944898,0,1024
5.045918,0,1024
5.146939,0,1024
5.247959,0,1024
5.34898,0,1024
5.45,0,1024
5.55102,0,1024
5.652041,0,1024
5.753061,0,1024
5.854082,0,1024
5.955102,0,1024
6.056122,0,1024
6.157143,0,1024
6.258163,0,1024
6.359184,0,1024
6.460204,0,1024
6.561224,0,1024
6.662245,0,1024
6.763265,0,1024
6.864286,0,1024
6.965306,0,1024
7.066327,0,1024
7.167347,0,1024
7.268367,0,1024
7.369388,0,1024
7.470408,0,1024
7.571429,0,1024
7.672449,0,1024
7.773469,0,1024
7.87449,0,1024
7.97551,0,1024
8.076531,0,1024
8.177551,0,1024
8.278571,0,1024
8.379592,0,1024
8.480612,0,1024
8.581633,0,1024
8.682653,0,1024
8.783673,0,1024
8.884694,0,1024
8.985714,0,1024
9.086735,0,1024
9.187755,0,1024
9.288776,0.0000028610229492,1024
9.389796,9.5367431641e-7,1024
9.490816,0.0000019073486328,1024
9.591837,0,1024
9.692857,0,1024
9.793878,0.0000019073486328,1024
9.894898,0,1024
9.995918,0.0000038146972656,1024
10.096939,0.0000076293945312,1024
10.197959,0.000030517578125,1024
10.29898,0.000089645385742,1024
10.4,0.00024223327637,1024
10.50102,0.00061225891113,1024
10.602041,0.0014324188232,1024
10.703061,0.0030918121338,1024
10.804082,0.0062160491943,1024
10.905102,0.011678695679,1024
11.006122,0.020608901978,1024
11.107143,0.034294128418,1024
11.208163,0.05397605896,1024
11.309184,0.080633163452,1024
11.410204,0.11469268799,1024
11.511224,0.15574264526,1024
11.612245,0.20240402222,1024
11.713265,0.25229263306,1024
11.814286,0.30224227905,1024
11.915306,0.34865951538,1024
12.016327,0.38800811768,1024
12.117347,0.41730880737,1024
12.218367,0.43458175659,1024
12.319388,0.43909072876,1024
12.420408,0.43135070801,1024
12.521429,0.41287231445,1024
12.622449,0.38591766357,1024
12.723469,0.35308074951,1024
12.82449,0.31686401367,1024
12.92551,0.27955627441,1024
13.026531,0.24295425415,1024
13.127551,0.20837020874,1024
13.228571,0.17665481567,1024
13.329592,0.14828491211,1024
13.430612,0.12340164185,1024
13.531633,0.10190582275,1024
13.632653,0.083633422852,1024
13.733673,0.068222045898,1024
13.834694,0.055381774902,1024
13.935714,0.044776916504,1024
14.036735,0.03604888916,1024
14.137755,0.028930664062,1024
14.238776,0.023124694824,1024
14.339796,0.018455505371,1024
14.440816,0.014686584473,1024
14.541837,0.011650085449,1024
14.642857,0.0092239379883,1024
14.743878,0.0072784423828,1024
14.844898,0.005729675293,1024
14.945918,0.004524230957,1024
15.046939,0.003547668457,1024
15.147959,0.0027923583984,1024
15.24898,0.0021743774414,1024
15.35,0.0016937255859,1024
15.45102,0.0013198852539,1024
15.552041,0.0010528564453,1024
15.653061,0.00080108642578,1024
15.754082,0.00063323974609,1024
15.855102,0.00048828125,1024
15.956122,0.00037384033203,1024
16.057143,0.00027465820312,1024
16.158163,0.00019836425781,1024
16.259184,0.00016784667969,1024
16.360204,0.00013732910156,1024
16.461224,0.000091552734375,1024
16.562245,0.000045776367188,1024
16.663265,0.00006103515625,1024
16.764286,0.00006103515625,1024
16.865306,0.000030517578125,1024
16.966327,0.000030517578125,1024
17.067347,0.000030517578125,1024
17.168367,0.000030517578125,1024
17.269388,-0.000015258789062,1024
17.370408,0.000045776367188,1024
17.471429,-0.000015258789062,1024
17.572449,-0.000015258789062,1024
17.673469,-0.000015258789062,1024
17.77449,-0.000015258789062,1024
17.87551,-0.000045776367188,1024
17.976531,-0.000030517578125,1024
18.077551,0,1024
18.178571,-0.000030517578125,1024
18.279592,-0.000015258789062,1024
18.380612,0.000045776367188,1024
18.481633,0.000015258789062,1024
18.582653,0.000015258789062,1024
18.683673,0.000030517578125,1024
18.784694,-0.000045776367188,1024
18.885714,0.000045776367188,1024
18.986735,0,1024
19.087755,0.000030517578125,1024
19.188776,0,1024
19.289796,0,1024
19.390816,0,1024
19.491837,-0.000030517578125,1024
19.592857,0.00006103515625,1024
19.693878,-0.000030517578125,1024
19.794898,0.000030517578125,1024
19.895918,0.000030517578125,1024
19.996939,0,1024
